n_max,n_samples,R2_MC_Omega,R2_S_Omega,corr_residuals,p_value_residuals
1000,532,0.09528295538922271,0.8005441918016193,0.037974702928797364,0.38203855197867403
5000,2965,0.14598772843379482,0.7797903590222232,0.024401409997808755,0.1840662961284527
10000,6145,0.15995200558655143,0.7689220212246153,0.026277083919345513,0.03941780584205398
