section,scale,model,metric,delta_r,value,std_or_se,r2,aic,bic,notes
B_wheel210,10000000,wheel210_cramer,deltaH_210,14,1.5269073,,,,,
B_wheel210,10000000,wheel210_cramer,R_210,14,2.3178983,,,,,
B_wheel210,10000000,wheel210_random,H_wheel210,18,0.82973651,0.020086315,,,,
B_wheel210,10000000,wheel210_random,deltaH_210,18,2.7242635,,,,,
B_wheel210,10000000,wheel210_random,R_210,18,4.2832875,,,,,
B_wheel210,10000000,wheel210_cramer,H_wheel210,18,0.75916697,0.010370548,,,,
B_wheel210,10000000,wheel210_cramer,deltaH_210,18,2.794833,,,,,
B_wheel210,10000000,wheel210_cramer,R_210,18,4.6814471,,,,,
B_wheel210,20000000,wheel210_random,H_wheel210,2,1.6936464,0.057029586,,,,
B_wheel210,20000000,wheel210_random,deltaH_210,2,-0.62554643,,,,,
B_wheel210,20000000,wheel210_random,R_210,2,0.63065111,,,,,
B_wheel210,20000000,wheel210_cramer,H_wheel210,2,1.7468172,0.013870789,,,,
B_wheel210,20000000,wheel210_cramer,deltaH_210,2,-0.67871722,,,,,
B_wheel210,20000000,wheel210_cramer,R_210,2,0.61145493,,,,,
B_wheel210,20000000,wheel210_random,H_wheel210,6,0.59881582,0.011295845,,,,
B_wheel210,20000000,wheel210_random,deltaH_210,6,0.86608418,,,,,
B_wheel210,20000000,wheel210_random,R_210,6,2.4463282,,,,,
B_wheel210,20000000,wheel210_cramer,H_wheel210,6,0.57800734,0.0075331949,,,,
B_wheel210,20000000,wheel210_cramer,deltaH_210,6,0.88689266,,,,,
B_wheel210,20000000,wheel210_cramer,R_210,6,2.5343969,,,,,
B_wheel210,20000000,wheel210_random,H_wheel210,10,1.0963434,0.024847891,,,,
B_wheel210,20000000,wheel210_random,deltaH_210,10,0.8390566,,,,,
B_wheel210,20000000,wheel210_random,R_210,10,1.7653228,,,,,
B_wheel210,20000000,wheel210_cramer,H_wheel210,10,1.0802493,0.0076307898,,,,
B_wheel210,20000000,wheel210_cramer,deltaH_210,10,0.85515073,,,,,
B_wheel210,20000000,wheel210_cramer,R_210,10,1.7916235,,,,,
B_wheel210,20000000,wheel210_random,H_wheel210,14,1.2095792,0.012888841,,,,
B_wheel210,20000000,wheel210_random,deltaH_210,14,1.3312208,,,,,
B_wheel210,20000000,wheel210_random,R_210,14,2.1005652,,,,,
B_wheel210,20000000,wheel210_cramer,H_wheel210,14,1.1670085,0.0097904659,,,,
B_wheel210,20000000,wheel210_cramer,deltaH_210,14,1.3737915,,,,,
B_wheel210,20000000,wheel210_cramer,R_210,14,2.1771906,,,,,
B_wheel210,20000000,wheel210_random,H_wheel210,18,0.82874803,0.035185905,,,,
B_wheel210,20000000,wheel210_random,deltaH_210,18,2.485752,,,,,
B_wheel210,20000000,wheel210_random,R_210,18,3.9994062,,,,,
B_wheel210,20000000,wheel210_cramer,H_wheel210,18,0.76247698,0.0081379806,,,,
B_wheel210,20000000,wheel210_cramer,deltaH_210,18,2.552023,,,,,
B_wheel210,20000000,wheel210_cramer,R_210,18,4.3470165,,,,,
C_hl_proxy,1000000,baseline_vs_proxy,k3_aic_gain,,-1.4739613,,0.005577779,,,gain > 0 favors proxy-augmented model
C_hl_proxy,1000000,baseline_vs_proxy,k4_aic_gain,,-1.9737052,,0.00029296607,,,gain > 0 favors proxy-augmented model
C_hl_proxy,10000000,baseline_vs_proxy,k3_aic_gain,,-1.7429426,,0.0019933177,,,gain > 0 favors proxy-augmented model
C_hl_proxy,10000000,baseline_vs_proxy,k4_aic_gain,,-1.9981936,,1.4367709e-05,,,gain > 0 favors proxy-augmented model
C_hl_proxy,20000000,baseline_vs_proxy,k3_aic_gain,,-1.7982098,,0.0014868611,,,gain > 0 favors proxy-augmented model
C_hl_proxy,20000000,baseline_vs_proxy,k4_aic_gain,,-1.9907016,,6.9840431e-05,,,gain > 0 favors proxy-augmented model
