p,d_40,eabc_p,e_d,a_d,b_d,c_d,omega_d,shell_d,H_d,E_d
647,607,C,0,0,1,0,1,0,1.0,-0.0
653,613,A,1,0,0,0,1,0,1.0,-0.0
659,619,C,0,0,1,0,1,0,1.0,-0.0
661,621,E,0,0,0,1,4,3,1.0,-0.0
673,633,E,0,0,1,0,2,1,1.0,-0.0
677,637,A,1,0,2,0,3,0,0.5555555555555556,0.9182958340544896
683,643,C,0,0,1,0,1,0,1.0,-0.0
691,651,B,0,0,2,0,3,1,1.0,-0.0
701,661,A,1,0,0,0,1,0,1.0,-0.0
709,669,E,0,0,1,0,2,1,1.0,-0.0
719,679,C,1,0,1,0,2,0,0.5,1.0
727,687,B,1,0,0,0,2,1,1.0,-0.0
733,693,E,0,0,1,1,4,2,0.5,1.0
739,699,B,0,1,0,0,2,1,1.0,-0.0
743,703,C,1,0,1,0,2,0,0.5,1.0
751,711,B,0,0,1,0,3,2,1.0,-0.0
757,717,E,0,0,0,1,2,1,1.0,-0.0
761,721,A,0,0,2,0,2,0,1.0,-0.0
769,729,E,0,0,0,0,6,6,0.0,0.0
773,733,A,1,0,0,0,1,0,1.0,-0.0
787,747,B,0,0,0,1,3,2,1.0,-0.0
797,757,A,1,0,0,0,1,0,1.0,-0.0
809,769,A,1,0,0,0,1,0,1.0,-0.0
811,771,B,0,1,0,0,2,1,1.0,-0.0
821,781,A,0,0,0,2,2,0,1.0,-0.0
823,783,B,0,1,0,0,4,3,1.0,-0.0
827,787,C,0,0,1,0,1,0,1.0,-0.0
829,789,E,0,0,0,1,2,1,1.0,-0.0
839,799,C,0,1,0,1,2,0,0.5,1.0
853,813,E,0,0,1,0,2,1,1.0,-0.0
857,817,A,0,0,2,0,2,0,1.0,-0.0
859,819,B,1,0,1,0,4,2,0.5,1.0
863,823,C,0,0,1,0,1,0,1.0,-0.0
877,837,E,0,0,1,0,4,3,1.0,-0.0
881,841,A,0,2,0,0,2,0,1.0,-0.0
883,843,B,0,1,0,0,2,1,1.0,-0.0
887,847,C,0,0,1,2,3,0,0.5555555555555556,0.9182958340544896
907,867,B,0,2,0,0,3,1,1.0,-0.0
911,871,C,1,0,1,0,2,0,0.5,1.0
919,879,B,0,1,0,0,2,1,1.0,-0.0
929,889,A,0,0,2,0,2,0,1.0,-0.0
937,897,E,1,0,0,1,3,1,0.5,1.0
941,901,A,0,2,0,0,2,0,1.0,-0.0
947,907,C,0,0,1,0,1,0,1.0,-0.0
953,913,A,0,0,0,2,2,0,1.0,-0.0
967,927,B,0,0,1,0,3,2,1.0,-0.0
971,931,C,0,0,3,0,3,0,1.0,-0.0
977,937,A,1,0,0,0,1,0,1.0,-0.0
983,943,C,0,1,0,1,2,0,0.5,1.0
991,951,B,0,1,0,0,2,1,1.0,-0.0
997,957,E,0,1,0,1,3,1,0.5,1.0
1009,969,E,0,1,1,0,3,1,0.5,1.0
1013,973,A,0,0,2,0,2,0,1.0,-0.0
1019,979,C,0,1,0,1,2,0,0.5,1.0
1021,981,E,1,0,0,0,3,2,1.0,-0.0
1031,991,C,0,0,1,0,1,0,1.0,-0.0
1033,993,E,0,0,1,0,2,1,1.0,-0.0
1039,999,B,1,0,0,0,4,3,1.0,-0.0
1049,1009,A,1,0,0,0,1,0,1.0,-0.0
