p,d_40,eabc_p,e_d,a_d,b_d,c_d,omega_d,shell_d,H_d,E_d
14731,14691,B,0,0,0,2,3,1,1.0,-0.0
14737,14697,E,0,0,0,2,4,2,1.0,-0.0
14741,14701,A,2,0,0,0,2,0,1.0,-0.0
14747,14707,C,0,0,1,2,3,0,0.5555555555555556,0.9182958340544896
14753,14713,A,1,0,0,0,1,0,1.0,-0.0
14759,14719,C,0,1,0,1,2,0,0.5,1.0
14767,14727,B,1,0,0,0,2,1,1.0,-0.0
14771,14731,C,0,0,1,0,1,0,1.0,-0.0
14779,14739,B,0,3,0,0,4,1,1.0,-0.0
14783,14743,C,0,1,0,1,2,0,0.5,1.0
14797,14757,E,0,0,0,1,2,1,1.0,-0.0
14813,14773,A,0,1,1,1,3,0,0.3333333333333333,1.584962500721156
14821,14781,E,1,0,1,0,3,1,0.5,1.0
14827,14787,B,0,1,1,0,4,2,0.5,1.0
14831,14791,C,1,0,1,0,2,0,0.5,1.0
14843,14803,C,0,1,0,1,2,0,0.5,1.0
14851,14811,B,0,1,0,0,2,1,1.0,-0.0
14867,14827,C,0,0,1,0,1,0,1.0,-0.0
14869,14829,E,0,0,0,1,2,1,1.0,-0.0
14879,14839,C,0,0,1,2,3,0,0.5555555555555556,0.9182958340544896
14887,14847,B,0,1,2,0,4,1,0.5555555555555556,0.9182958340544896
14891,14851,C,0,0,1,0,1,0,1.0,-0.0
14897,14857,A,0,0,0,2,2,0,1.0,-0.0
14923,14883,B,0,1,0,2,4,1,0.5555555555555556,0.9182958340544896
14929,14889,E,1,0,1,0,3,1,0.5,1.0
14939,14899,C,0,1,0,1,2,0,0.5,1.0
14947,14907,B,1,0,0,0,2,1,1.0,-0.0
14951,14911,C,2,0,1,0,3,0,0.5555555555555556,0.9182958340544896
14957,14917,A,0,0,2,0,2,0,1.0,-0.0
14969,14929,A,1,0,0,0,1,0,1.0,-0.0
14983,14943,B,0,2,0,0,3,1,1.0,-0.0
15013,14973,E,0,0,2,1,4,1,0.5555555555555556,0.9182958340544896
15017,14977,A,0,2,0,0,2,0,1.0,-0.0
15031,14991,B,0,0,1,1,3,1,0.5,1.0
15053,15013,A,1,0,0,0,1,0,1.0,-0.0
15061,15021,E,1,0,0,0,3,2,1.0,-0.0
15073,15033,E,0,0,1,0,2,1,1.0,-0.0
15077,15037,A,0,0,0,2,2,0,1.0,-0.0
15083,15043,C,0,0,3,0,3,0,1.0,-0.0
15091,15051,B,0,2,0,0,3,1,1.0,-0.0
15101,15061,A,1,0,0,0,1,0,1.0,-0.0
15107,15067,C,2,0,1,0,3,0,0.5555555555555556,0.9182958340544896
15121,15081,E,1,0,0,1,3,1,0.5,1.0
15131,15091,C,0,0,1,0,1,0,1.0,-0.0
15137,15097,A,0,0,2,0,2,0,1.0,-0.0
15139,15099,B,0,0,1,1,3,1,0.5,1.0
15149,15109,A,0,2,0,0,2,0,1.0,-0.0
15161,15121,A,1,0,0,0,1,0,1.0,-0.0
15173,15133,A,2,0,0,0,2,0,1.0,-0.0
15187,15147,B,0,1,0,1,6,4,0.5,1.0
15193,15153,E,0,0,0,1,2,1,1.0,-0.0
15199,15159,B,0,0,2,0,3,1,1.0,-0.0
15217,15177,E,0,0,1,0,2,1,1.0,-0.0
15227,15187,C,0,0,1,0,1,0,1.0,-0.0
15233,15193,A,1,0,0,0,1,0,1.0,-0.0
15241,15201,E,0,0,0,1,4,3,1.0,-0.0
15259,15219,B,0,1,1,0,4,2,0.5,1.0
15263,15223,C,1,0,1,0,2,0,0.5,1.0
15269,15229,A,2,0,0,0,2,0,1.0,-0.0
15271,15231,B,1,0,0,0,2,1,1.0,-0.0
15277,15237,E,1,0,0,0,3,2,1.0,-0.0
15287,15247,C,1,0,1,0,2,0,0.5,1.0
15289,15249,E,1,1,0,1,4,1,0.3333333333333333,1.584962500721156
15299,15259,C,0,0,1,0,1,0,1.0,-0.0
15307,15267,B,0,0,2,0,3,1,1.0,-0.0
15313,15273,E,0,1,0,0,3,2,1.0,-0.0
15319,15279,B,0,0,1,1,3,1,0.5,1.0
15329,15289,A,1,0,0,0,1,0,1.0,-0.0
15331,15291,B,0,0,1,0,3,2,1.0,-0.0
15349,15309,E,0,0,1,0,8,7,1.0,-0.0
15359,15319,C,0,0,1,0,1,0,1.0,-0.0
15361,15321,E,0,0,1,0,2,1,1.0,-0.0
15373,15333,E,0,1,1,0,3,1,0.5,1.0
15377,15337,A,1,0,2,0,3,0,0.5555555555555556,0.9182958340544896
15383,15343,C,1,0,1,0,2,0,0.5,1.0
15391,15351,B,0,1,2,0,4,1,0.5555555555555556,0.9182958340544896
15401,15361,A,1,0,0,0,1,0,1.0,-0.0
15413,15373,A,1,0,0,0,1,0,1.0,-0.0
15427,15387,B,0,0,1,1,3,1,0.5,1.0
15439,15399,B,0,1,0,1,4,2,0.5,1.0
15443,15403,C,1,0,1,0,2,0,0.5,1.0
15451,15411,B,0,0,0,2,3,1,1.0,-0.0
15461,15421,A,0,0,2,0,2,0,1.0,-0.0
15467,15427,C,0,0,1,0,1,0,1.0,-0.0
15473,15433,A,1,0,0,2,3,0,0.5555555555555556,0.9182958340544896
15493,15453,E,0,2,0,0,4,2,1.0,-0.0
15497,15457,A,1,2,0,0,3,0,0.5555555555555556,0.9182958340544896
15511,15471,B,0,0,0,1,5,4,1.0,-0.0
15527,15487,C,0,1,0,1,2,0,0.5,1.0
15541,15501,E,0,0,1,0,2,1,1.0,-0.0
15551,15511,C,0,0,1,0,1,0,1.0,-0.0
15559,15519,B,0,0,2,0,3,1,1.0,-0.0
15569,15529,A,0,2,0,0,2,0,1.0,-0.0
15581,15541,A,1,0,0,0,1,0,1.0,-0.0
15583,15543,B,1,0,0,1,4,2,0.5,1.0
15601,15561,E,1,0,2,0,5,2,0.5555555555555556,0.9182958340544896
15607,15567,B,0,1,0,0,2,1,1.0,-0.0
15619,15579,B,1,0,0,0,4,3,1.0,-0.0
15629,15589,A,0,1,1,1,3,0,0.3333333333333333,1.584962500721156
15641,15601,A,1,0,0,0,1,0,1.0,-0.0
15643,15603,B,0,0,1,1,3,1,0.5,1.0
15647,15607,C,0,0,1,0,1,0,1.0,-0.0
15649,15609,E,0,0,1,2,4,1,0.5555555555555556,0.9182958340544896
15661,15621,E,0,1,1,0,3,1,0.5,1.0
15667,15627,B,1,0,0,0,2,1,1.0,-0.0
15671,15631,C,0,1,2,1,4,0,0.375,1.5
15679,15639,B,1,1,0,0,3,1,0.5,1.0
15683,15643,C,0,0,1,0,1,0,1.0,-0.0
15727,15687,B,0,0,1,1,5,3,0.5,1.0
15731,15691,C,1,1,0,1,3,0,0.3333333333333333,1.584962500721156
15733,15693,E,0,0,0,1,2,1,1.0,-0.0
15737,15697,A,0,0,0,2,2,0,1.0,-0.0
15739,15699,B,1,0,0,0,2,1,1.0,-0.0
15749,15709,A,0,0,0,2,2,0,1.0,-0.0
15761,15721,A,0,0,2,0,2,0,1.0,-0.0
15767,15727,C,0,0,1,0,1,0,1.0,-0.0
15773,15733,A,1,0,0,0,1,0,1.0,-0.0
15787,15747,B,1,1,0,0,3,1,0.5,1.0
15791,15751,C,1,0,1,0,2,0,0.5,1.0
15797,15757,A,0,0,2,0,2,0,1.0,-0.0
15803,15763,C,0,1,0,1,2,0,0.5,1.0
15809,15769,A,2,0,0,0,2,0,1.0,-0.0
15817,15777,E,1,0,0,0,3,2,1.0,-0.0
15823,15783,B,0,1,0,0,2,1,1.0,-0.0
15859,15819,B,0,1,0,0,2,1,1.0,-0.0
15877,15837,E,0,0,0,1,2,1,1.0,-0.0
15881,15841,A,1,0,2,0,3,0,0.5555555555555556,0.9182958340544896
15887,15847,C,1,1,0,1,3,0,0.3333333333333333,1.584962500721156
15889,15849,E,0,0,0,1,4,3,1.0,-0.0
15901,15861,E,0,1,0,1,3,1,0.5,1.0
15907,15867,B,0,1,1,0,4,2,0.5,1.0
15913,15873,E,2,0,0,1,4,1,0.5555555555555556,0.9182958340544896
15919,15879,B,0,0,2,0,3,1,1.0,-0.0
15923,15883,C,1,0,1,0,2,0,0.5,1.0
15937,15897,E,1,0,1,0,3,1,0.5,1.0
15959,15919,C,0,0,1,0,1,0,1.0,-0.0
15971,15931,C,0,1,0,1,2,0,0.5,1.0
15973,15933,E,0,1,0,1,3,1,0.5,1.0
15991,15951,B,2,0,0,0,3,1,1.0,-0.0
16001,15961,A,0,0,0,2,2,0,1.0,-0.0
16007,15967,C,1,0,1,0,2,0,0.5,1.0
16033,15993,E,1,0,0,0,3,2,1.0,-0.0
16057,16017,E,0,1,1,0,3,1,0.5,1.0
16061,16021,A,2,0,0,0,2,0,1.0,-0.0
16063,16023,B,1,0,2,0,4,1,0.5555555555555556,0.9182958340544896
16067,16027,C,0,0,1,2,3,0,0.5555555555555556,0.9182958340544896
16069,16029,E,1,1,0,0,4,2,0.5,1.0
16073,16033,A,1,0,0,0,1,0,1.0,-0.0
16087,16047,B,0,0,1,0,3,2,1.0,-0.0
16091,16051,C,1,0,1,0,2,0,0.5,1.0
16097,16057,A,1,0,0,0,1,0,1.0,-0.0
16103,16063,C,0,0,1,0,1,0,1.0,-0.0
16111,16071,B,0,0,1,1,3,1,0.5,1.0
16127,16087,C,0,0,1,0,1,0,1.0,-0.0
16139,16099,C,0,1,0,1,2,0,0.5,1.0
16141,16101,E,1,0,0,0,3,2,1.0,-0.0
16183,16143,B,0,1,0,0,2,1,1.0,-0.0
16187,16147,C,1,0,1,0,2,0,0.5,1.0
16189,16149,E,1,0,1,0,3,1,0.5,1.0
16193,16153,A,0,2,0,0,2,0,1.0,-0.0
16217,16177,A,0,0,2,0,2,0,1.0,-0.0
16223,16183,C,0,0,1,0,1,0,1.0,-0.0
16229,16189,A,1,0,0,0,1,0,1.0,-0.0
16231,16191,B,0,1,1,0,4,2,0.5,1.0
16249,16209,E,1,0,0,0,3,2,1.0,-0.0
16253,16213,A,0,0,2,0,2,0,1.0,-0.0
16267,16227,B,1,0,0,0,4,3,1.0,-0.0
16273,16233,E,0,1,1,0,3,1,0.5,1.0
16301,16261,A,0,1,1,1,3,0,0.3333333333333333,1.584962500721156
16319,16279,C,1,0,1,0,2,0,0.5,1.0
16333,16293,E,0,0,1,0,2,1,1.0,-0.0
16339,16299,B,0,0,0,1,3,2,1.0,-0.0
16349,16309,A,0,0,0,2,2,0,1.0,-0.0
16361,16321,A,0,0,2,0,2,0,1.0,-0.0
16363,16323,B,0,1,0,0,2,1,1.0,-0.0
16369,16329,E,0,0,1,0,2,1,1.0,-0.0
16381,16341,E,1,0,0,1,3,1,0.5,1.0
16411,16371,B,0,1,0,1,4,2,0.5,1.0
16417,16377,E,0,1,1,0,3,1,0.5,1.0
16421,16381,A,1,0,0,0,1,0,1.0,-0.0
16427,16387,C,1,0,1,0,2,0,0.5,1.0
16433,16393,A,3,0,0,0,3,0,1.0,-0.0
16447,16407,B,0,0,0,1,3,2,1.0,-0.0
16451,16411,C,0,0,1,0,1,0,1.0,-0.0
16453,16413,E,0,0,0,1,2,1,1.0,-0.0
16477,16437,E,0,0,1,0,2,1,1.0,-0.0
16481,16441,A,0,2,0,0,2,0,1.0,-0.0
16487,16447,C,0,0,1,0,1,0,1.0,-0.0
16493,16453,A,1,0,0,0,1,0,1.0,-0.0
16519,16479,B,0,0,1,0,3,2,1.0,-0.0
16529,16489,A,0,0,0,2,2,0,1.0,-0.0
16547,16507,C,0,1,0,1,2,0,0.5,1.0
16553,16513,A,1,0,2,0,3,0,0.5555555555555556,0.9182958340544896
16561,16521,E,0,0,0,1,2,1,1.0,-0.0
16567,16527,B,0,0,2,0,3,1,1.0,-0.0
16573,16533,E,0,0,0,2,4,2,1.0,-0.0
16603,16563,B,1,0,0,0,2,1,1.0,-0.0
16607,16567,C,0,0,1,0,1,0,1.0,-0.0
16619,16579,C,0,1,0,1,2,0,0.5,1.0
16631,16591,C,0,1,0,1,2,0,0.5,1.0
16633,16593,E,0,0,0,1,2,1,1.0,-0.0
16649,16609,A,0,2,0,0,2,0,1.0,-0.0
16651,16611,B,0,1,2,0,4,1,0.5555555555555556,0.9182958340544896
16657,16617,E,0,1,0,1,3,1,0.5,1.0
16661,16621,A,0,0,0,2,2,0,1.0,-0.0
16673,16633,A,1,0,0,0,1,0,1.0,-0.0
16691,16651,C,0,0,1,0,1,0,1.0,-0.0
16693,16653,E,2,0,1,0,4,1,0.5555555555555556,0.9182958340544896
16699,16659,B,0,1,0,0,4,3,1.0,-0.0
16703,16663,C,1,0,1,0,2,0,0.5,1.0
16729,16689,E,0,0,1,0,2,1,1.0,-0.0
16741,16701,E,0,1,1,0,3,1,0.5,1.0
16747,16707,B,1,0,0,0,2,1,1.0,-0.0
16759,16719,B,0,1,0,0,2,1,1.0,-0.0
16763,16723,C,1,0,1,0,2,0,0.5,1.0
16787,16747,C,0,0,1,0,1,0,1.0,-0.0
16811,16771,C,1,0,1,0,2,0,0.5,1.0
16823,16783,C,1,0,1,0,2,0,0.5,1.0
16829,16789,A,0,0,2,0,2,0,1.0,-0.0
16831,16791,B,1,1,0,0,3,1,0.5,1.0
16843,16803,B,0,0,1,0,3,2,1.0,-0.0
16871,16831,C,0,0,1,0,1,0,1.0,-0.0
16879,16839,B,0,0,0,1,3,2,1.0,-0.0
16883,16843,C,0,0,1,0,1,0,1.0,-0.0
16889,16849,A,0,1,1,1,3,0,0.3333333333333333,1.584962500721156
16901,16861,A,2,0,0,0,2,0,1.0,-0.0
16903,16863,B,1,0,1,1,4,1,0.3333333333333333,1.584962500721156
16921,16881,E,0,1,1,0,3,1,0.5,1.0
16927,16887,B,2,0,0,0,3,1,1.0,-0.0
16931,16891,C,0,0,3,0,3,0,1.0,-0.0
16937,16897,A,2,0,0,0,2,0,1.0,-0.0
16943,16903,C,0,0,1,0,1,0,1.0,-0.0
16963,16923,B,1,0,0,0,2,1,1.0,-0.0
16979,16939,C,1,0,1,0,2,0,0.5,1.0
16981,16941,E,0,0,1,0,2,1,1.0,-0.0
16987,16947,B,0,1,1,0,4,2,0.5,1.0
16993,16953,E,0,0,0,1,2,1,1.0,-0.0
17011,16971,B,0,1,0,0,2,1,1.0,-0.0
17021,16981,A,1,0,0,0,1,0,1.0,-0.0
17027,16987,C,0,0,1,0,1,0,1.0,-0.0
17029,16989,E,0,1,1,0,3,1,0.5,1.0
17033,16993,A,1,0,0,0,1,0,1.0,-0.0
17041,17001,E,0,1,0,0,3,2,1.0,-0.0
17047,17007,B,0,1,0,0,2,1,1.0,-0.0
17053,17013,E,0,1,0,1,3,1,0.5,1.0
17077,17037,E,0,0,1,0,4,3,1.0,-0.0
17093,17053,A,1,0,0,0,1,0,1.0,-0.0
17099,17059,C,1,0,1,0,2,0,0.5,1.0
17107,17067,B,1,0,0,0,2,1,1.0,-0.0
17117,17077,A,1,0,0,0,1,0,1.0,-0.0
17123,17083,C,0,1,0,1,2,0,0.5,1.0
17137,17097,E,0,1,1,0,3,1,0.5,1.0
17159,17119,C,0,2,1,0,3,0,0.5555555555555556,0.9182958340544896
17167,17127,B,0,1,0,1,4,2,0.5,1.0
17183,17143,C,0,0,3,0,3,0,1.0,-0.0
17189,17149,A,0,0,0,2,2,0,1.0,-0.0
17191,17151,B,0,1,0,0,2,1,1.0,-0.0
17203,17163,B,0,0,0,1,3,2,1.0,-0.0
17207,17167,C,0,0,1,0,1,0,1.0,-0.0
17209,17169,E,1,0,0,1,3,1,0.5,1.0
17231,17191,C,0,0,1,0,1,0,1.0,-0.0
17239,17199,B,1,0,2,0,6,3,0.5555555555555556,0.9182958340544896
17257,17217,E,0,1,0,0,3,2,1.0,-0.0
17291,17251,C,1,0,1,0,2,0,0.5,1.0
17293,17253,E,0,0,0,1,6,5,1.0,-0.0
17299,17259,B,0,0,1,1,3,1,0.5,1.0
17317,17277,E,1,0,0,1,3,1,0.5,1.0
17321,17281,A,0,0,0,2,2,0,1.0,-0.0
17327,17287,C,0,1,0,1,2,0,0.5,1.0
17333,17293,A,1,0,0,0,1,0,1.0,-0.0
17341,17301,E,1,0,1,0,3,1,0.5,1.0
17351,17311,C,1,0,1,0,2,0,0.5,1.0
17359,17319,B,0,0,0,2,3,1,1.0,-0.0
17377,17337,E,0,0,1,0,2,1,1.0,-0.0
17383,17343,B,0,1,0,1,4,2,0.5,1.0
17387,17347,C,0,0,1,2,3,0,0.5555555555555556,0.9182958340544896
17389,17349,E,0,0,0,1,2,1,1.0,-0.0
17393,17353,A,1,0,2,0,3,0,0.5555555555555556,0.9182958340544896
17401,17361,E,0,0,1,0,4,3,1.0,-0.0
17417,17377,A,1,0,0,0,1,0,1.0,-0.0
17419,17379,B,0,0,0,1,3,2,1.0,-0.0
17431,17391,B,0,1,1,1,4,1,0.3333333333333333,1.584962500721156
17443,17403,B,0,1,0,0,2,1,1.0,-0.0
17449,17409,E,1,0,1,0,3,1,0.5,1.0
17467,17427,B,2,0,0,0,3,1,1.0,-0.0
17471,17431,C,0,0,1,0,1,0,1.0,-0.0
17477,17437,A,0,1,1,1,3,0,0.3333333333333333,1.584962500721156
17483,17443,C,0,0,1,0,1,0,1.0,-0.0
17489,17449,A,1,0,0,0,1,0,1.0,-0.0
17491,17451,B,1,0,1,0,4,2,0.5,1.0
17497,17457,E,0,0,0,3,4,1,1.0,-0.0
17509,17469,E,0,0,0,1,4,3,1.0,-0.0
17519,17479,C,0,0,1,2,3,0,0.5555555555555556,0.9182958340544896
17539,17499,B,0,0,2,0,3,1,1.0,-0.0
17551,17511,B,1,1,0,0,3,1,0.5,1.0
17569,17529,E,0,0,0,1,2,1,1.0,-0.0
17573,17533,A,0,2,0,0,2,0,1.0,-0.0
17579,17539,C,0,0,1,0,1,0,1.0,-0.0
17581,17541,E,0,1,0,0,3,2,1.0,-0.0
17597,17557,A,2,0,0,0,2,0,1.0,-0.0
17599,17559,B,0,0,1,0,3,2,1.0,-0.0
17609,17569,A,1,0,0,0,1,0,1.0,-0.0
17623,17583,B,0,1,0,0,2,1,1.0,-0.0
17627,17587,C,1,0,1,0,2,0,0.5,1.0
17657,17617,A,0,0,2,0,2,0,1.0,-0.0
17659,17619,B,0,0,1,1,3,1,0.5,1.0
17669,17629,A,1,2,0,0,3,0,0.5555555555555556,0.9182958340544896
17681,17641,A,1,0,0,2,3,0,0.5555555555555556,0.9182958340544896
17683,17643,B,1,0,0,0,2,1,1.0,-0.0
17707,17667,B,1,0,1,0,4,2,0.5,1.0
17713,17673,E,0,1,1,0,3,1,0.5,1.0
17729,17689,A,0,0,4,0,4,0,1.0,-0.0
17737,17697,E,0,1,0,1,3,1,0.5,1.0
17747,17707,C,0,0,1,0,1,0,1.0,-0.0
17749,17709,E,0,0,0,1,2,1,1.0,-0.0
17761,17721,E,0,0,0,2,4,2,1.0,-0.0
17783,17743,C,0,1,0,1,2,0,0.5,1.0
17789,17749,A,1,0,0,0,1,0,1.0,-0.0
17791,17751,B,2,0,0,0,3,1,1.0,-0.0
17807,17767,C,1,0,1,0,2,0,0.5,1.0
17827,17787,B,0,0,2,2,5,1,0.5,1.0
17837,17797,A,3,0,0,0,3,0,1.0,-0.0
17839,17799,B,1,1,0,0,3,1,0.5,1.0
17851,17811,B,0,0,0,1,3,2,1.0,-0.0
17863,17823,B,2,0,0,0,3,1,1.0,-0.0
17881,17841,E,1,0,1,0,3,1,0.5,1.0
17891,17851,C,0,0,1,0,1,0,1.0,-0.0
17903,17863,C,0,0,1,0,1,0,1.0,-0.0
17909,17869,A,0,0,0,2,2,0,1.0,-0.0
17911,17871,B,1,0,1,1,4,1,0.3333333333333333,1.584962500721156
17921,17881,A,1,0,0,0,1,0,1.0,-0.0
17923,17883,B,0,0,1,0,3,2,1.0,-0.0
17929,17889,E,0,1,1,0,3,1,0.5,1.0
17939,17899,C,1,0,1,0,2,0,0.5,1.0
17957,17917,A,0,1,1,1,3,0,0.3333333333333333,1.584962500721156
17959,17919,B,1,0,0,1,4,2,0.5,1.0
17971,17931,B,0,0,2,0,3,1,1.0,-0.0
17977,17937,E,1,0,0,0,3,2,1.0,-0.0
17981,17941,A,0,1,1,1,3,0,0.3333333333333333,1.584962500721156
17987,17947,C,0,1,0,1,2,0,0.5,1.0
17989,17949,E,1,0,1,0,3,1,0.5,1.0
18013,17973,E,0,1,0,0,3,2,1.0,-0.0
18041,18001,A,0,0,0,2,2,0,1.0,-0.0
18043,18003,B,0,2,0,0,3,1,1.0,-0.0
18047,18007,C,0,1,0,1,2,0,0.5,1.0
18049,18009,E,0,1,0,1,5,3,0.5,1.0
18059,18019,C,1,0,1,0,2,0,0.5,1.0
18061,18021,E,0,0,1,0,2,1,1.0,-0.0
18077,18037,A,0,2,0,0,2,0,1.0,-0.0
18089,18049,A,1,0,0,0,1,0,1.0,-0.0
18097,18057,E,1,0,1,0,3,1,0.5,1.0
18119,18079,C,0,1,0,1,2,0,0.5,1.0
18121,18081,E,0,1,2,0,5,2,0.5555555555555556,0.9182958340544896
18127,18087,B,0,1,0,0,2,1,1.0,-0.0
18131,18091,C,1,0,1,0,2,0,0.5,1.0
18133,18093,E,1,0,1,0,3,1,0.5,1.0
18143,18103,C,1,0,1,0,2,0,0.5,1.0
18149,18109,A,1,0,2,0,3,0,0.5555555555555556,0.9182958340544896
18169,18129,E,0,0,1,0,2,1,1.0,-0.0
18181,18141,E,0,0,0,1,2,1,1.0,-0.0
18191,18151,C,1,0,1,0,2,0,0.5,1.0
18199,18159,B,0,1,0,0,2,1,1.0,-0.0
18211,18171,B,1,0,0,0,4,3,1.0,-0.0
18217,18177,E,1,0,0,1,3,1,0.5,1.0
18223,18183,B,0,1,1,1,4,1,0.3333333333333333,1.584962500721156
18229,18189,E,0,0,1,1,4,2,0.5,1.0
18233,18193,A,0,1,1,1,3,0,0.3333333333333333,1.584962500721156
18251,18211,C,0,0,1,0,1,0,1.0,-0.0
18253,18213,E,1,0,0,1,3,1,0.5,1.0
18257,18217,A,1,0,0,0,1,0,1.0,-0.0
18269,18229,A,1,0,0,0,1,0,1.0,-0.0
18287,18247,C,0,1,0,1,2,0,0.5,1.0
18289,18249,E,0,0,2,1,4,1,0.5555555555555556,0.9182958340544896
18301,18261,E,1,0,0,0,3,2,1.0,-0.0
18307,18267,B,0,1,0,0,2,1,1.0,-0.0
18311,18271,C,0,0,1,2,3,0,0.5555555555555556,0.9182958340544896
18313,18273,E,0,0,1,0,2,1,1.0,-0.0
18329,18289,A,1,0,0,0,1,0,1.0,-0.0
18341,18301,A,1,0,0,0,1,0,1.0,-0.0
18353,18313,A,1,0,0,0,1,0,1.0,-0.0
18367,18327,B,0,2,0,0,3,1,1.0,-0.0
18371,18331,C,0,1,0,1,2,0,0.5,1.0
18379,18339,B,0,1,0,0,2,1,1.0,-0.0
18397,18357,E,0,1,1,0,3,1,0.5,1.0
18401,18361,A,1,0,2,0,3,0,0.5555555555555556,0.9182958340544896
18413,18373,A,0,0,2,0,2,0,1.0,-0.0
18427,18387,B,0,0,0,1,5,4,1.0,-0.0
18433,18393,E,0,0,0,1,2,1,1.0,-0.0
18439,18399,B,1,0,0,0,2,1,1.0,-0.0
18443,18403,C,0,0,1,2,3,0,0.5555555555555556,0.9182958340544896
18451,18411,B,0,1,2,0,4,1,0.5555555555555556,0.9182958340544896
18457,18417,E,1,0,1,0,3,1,0.5,1.0
18461,18421,A,3,0,0,0,3,0,1.0,-0.0
18481,18441,E,0,0,0,1,4,3,1.0,-0.0
18493,18453,E,0,0,1,0,2,1,1.0,-0.0
18503,18463,C,1,0,1,0,2,0,0.5,1.0
18517,18477,E,1,0,0,0,3,2,1.0,-0.0
18521,18481,A,1,0,0,0,1,0,1.0,-0.0
18523,18483,B,1,1,0,0,3,1,0.5,1.0
18539,18499,C,1,0,1,0,2,0,0.5,1.0
18541,18501,E,0,1,1,0,3,1,0.5,1.0
18553,18513,E,0,1,0,2,5,2,0.5555555555555556,0.9182958340544896
18583,18543,B,0,0,2,0,3,1,1.0,-0.0
18587,18547,C,0,1,0,1,2,0,0.5,1.0
18593,18553,A,1,0,0,0,1,0,1.0,-0.0
18617,18577,A,2,0,0,0,2,0,1.0,-0.0
18637,18597,E,0,0,1,0,2,1,1.0,-0.0
18661,18621,E,0,1,0,0,3,2,1.0,-0.0
18671,18631,C,1,0,1,0,2,0,0.5,1.0
18679,18639,B,1,0,1,0,4,2,0.5,1.0
18691,18651,B,1,0,0,0,2,1,1.0,-0.0
18701,18661,A,1,0,0,0,1,0,1.0,-0.0
18713,18673,A,0,0,0,2,2,0,1.0,-0.0
18719,18679,C,0,0,1,0,1,0,1.0,-0.0
18731,18691,C,0,0,1,0,1,0,1.0,-0.0
18743,18703,C,0,1,0,1,2,0,0.5,1.0
18749,18709,A,0,2,0,0,2,0,1.0,-0.0
18757,18717,E,0,1,1,0,3,1,0.5,1.0
18773,18733,A,1,0,0,2,3,0,0.5555555555555556,0.9182958340544896
18787,18747,B,0,0,1,0,3,2,1.0,-0.0
18793,18753,E,0,0,2,1,4,1,0.5555555555555556,0.9182958340544896
18797,18757,A,1,0,0,0,1,0,1.0,-0.0
18803,18763,C,0,1,0,1,2,0,0.5,1.0
18839,18799,C,0,1,0,1,2,0,0.5,1.0
18859,18819,B,0,2,0,0,5,3,1.0,-0.0
18869,18829,A,0,0,2,0,2,0,1.0,-0.0
18899,18859,C,0,0,1,0,1,0,1.0,-0.0
18911,18871,C,0,1,0,1,2,0,0.5,1.0
18913,18873,E,0,1,0,0,5,4,1.0,-0.0
18917,18877,A,0,0,2,0,2,0,1.0,-0.0
18919,18879,B,0,1,2,0,4,1,0.5555555555555556,0.9182958340544896
18947,18907,C,2,0,1,0,3,0,0.5555555555555556,0.9182958340544896
18959,18919,C,0,0,1,0,1,0,1.0,-0.0
18973,18933,E,0,0,0,1,2,1,1.0,-0.0
18979,18939,B,0,0,0,2,3,1,1.0,-0.0
19001,18961,A,0,0,2,0,2,0,1.0,-0.0
19009,18969,E,0,0,0,1,2,1,1.0,-0.0
19013,18973,A,1,0,0,0,1,0,1.0,-0.0
19031,18991,C,1,0,1,0,2,0,0.5,1.0
19037,18997,A,1,0,0,2,3,0,0.5555555555555556,0.9182958340544896
19051,19011,B,1,0,0,0,2,1,1.0,-0.0
19069,19029,E,0,0,1,0,2,1,1.0,-0.0
19073,19033,A,0,0,2,0,2,0,1.0,-0.0
19079,19039,C,1,0,1,0,2,0,0.5,1.0
19081,19041,E,1,0,0,1,3,1,0.5,1.0
19087,19047,B,0,0,2,0,3,1,1.0,-0.0
19121,19081,A,1,0,0,0,1,0,1.0,-0.0
19139,19099,C,0,1,0,1,2,0,0.5,1.0
19141,19101,E,0,0,1,0,2,1,1.0,-0.0
19157,19117,A,0,0,2,0,2,0,1.0,-0.0
19163,19123,C,1,0,1,0,2,0,0.5,1.0
19181,19141,A,1,0,0,0,1,0,1.0,-0.0
19183,19143,B,1,0,0,0,4,3,1.0,-0.0
19207,19167,B,0,1,0,0,2,1,1.0,-0.0
19211,19171,C,1,0,1,0,2,0,0.5,1.0
19213,19173,E,0,0,1,2,4,1,0.5555555555555556,0.9182958340544896
19219,19179,B,0,0,1,0,3,2,1.0,-0.0
19231,19191,B,1,0,0,0,2,1,1.0,-0.0
19237,19197,E,0,0,1,0,6,5,1.0,-0.0
19249,19209,E,1,0,1,0,3,1,0.5,1.0
19259,19219,C,0,0,1,0,1,0,1.0,-0.0
19267,19227,B,1,2,0,0,4,1,0.5555555555555556,0.9182958340544896
19273,19233,E,1,0,0,0,3,2,1.0,-0.0
19289,19249,A,1,0,0,0,1,0,1.0,-0.0
19301,19261,A,0,1,1,1,3,0,0.3333333333333333,1.584962500721156
19309,19269,E,0,1,0,0,3,2,1.0,-0.0
19319,19279,C,1,0,1,0,2,0,0.5,1.0
19333,19293,E,1,0,0,1,3,1,0.5,1.0
